Sport ,,Sport Persian,Competition,Country, Country Persian,Competition Persian
Football,SOCCER,فوتبال,Tercera Division,Spain,اسپانیا,ترسرا دیویژن اسپانیا
Football,SOCCER,فوتبال,Primera División Femenina,Spain,اسپانیا,پریمرا دیویژن - زنان اسپانیا
Football,SOCCER,فوتبال,Ligue 1,France,فرانسه,لیگ ۱ فرانسه
Football,SOCCER,فوتبال,Ligue 2,France,فرانسه,لیگ ۲ فرانسه
Football,SOCCER,فوتبال,Championnat National U19,France,فرانسه,لیگ قهرمانان ملی زیر۱۹ سال فرانسه
Football,SOCCER,فوتبال,National,France,فرانسه,لیگ ملی فرانسه
Football,SOCCER,فوتبال,Division 1 Women,France,فرانسه,لیگ دسته ۱ - زنان فرانسه
Football,SOCCER,فوتبال,National 2,France,فرانسه,لیگ ملی فرانسه  ۲
Football,SOCCER,فوتبال,A-League,Australia,استرالیا,ای-لیگ استرالیا‌
Football,SOCCER,فوتبال,Women W-League,Australia,استرالیا,لیگ زنان استرالیا
Football,SOCCER,فوتبال,FFA Cup,Australia,استرالیا,جام حذفی استرالیا
Football,SOCCER,فوتبال,First Division,UAE,امارات متحده عربی,لیگ دسته اول امارات
Football,SOCCER,فوتبال,Pro-League,UAE,امارات متحده عربی,لیگ برتر امارات
Football,SOCCER,فوتبال,League 2,Scotland,اسکاتلند,لیگ دو اسکاتلند
Football,SOCCER,فوتبال,Premiership League,Scotland,اسکاتلند,لیگ برتر اسکاتلند
Football,SOCCER,فوتبال,Championship League,Scotland,اسکاتلند,چمپیونشیپ اسکاتلند
Football,SOCCER,فوتبال,FA Cup,Scotland,اسکاتلند,جام حذفی اسکاتلند
Football,SOCCER,فوتبال,2. HNL,Croatia,کرواسی,لیگ ۲ کرواسی
Football,SOCCER,فوتبال,1. HNL,Croatia,کرواسی,لیگ ۱ کرواسی
Football,SOCCER,فوتبال,Second Division,Egypt,مصر,دسته ۲
Football,SOCCER,فوتبال,Premier League,Egypt,مصر,لیگ برتر مصر
Football,SOCCER,فوتبال,Eredivisie,Netherlands,هلند,لیگ برتر هلند
Football,SOCCER,فوتبال,Women Eredivisie,Netherlands,هلند,لیگ برتر - زنان هلند
Football,SOCCER,فوتبال,Jupiler League,Netherlands,هلند,لیگ ژوپیلر
Football,SOCCER,فوتبال,Tweede Divisie,Netherlands,هلند,لیگ دسته دوم هلند
Football,SOCCER,فوتبال,ALKA Superliga Regular,Denmark,دانمارک,سوپر لیگ دانمارک
Football,SOCCER,فوتبال,Bet25 Liga,Denmark,دانمارک,لیگ دسته اول دانمارک
Football,SOCCER,فوتبال,Sudan Premier League,Sudan,سودان,لیگ برتر سودان
Football,SOCCER,فوتبال,J-League Division 2,Japan,ژاپن,جی‌لیگ ۲ ژاپن
Football,SOCCER,فوتبال,Nabisco Cup Women,Japan,ژاپن,جام نابیسکو - زنان
Football,SOCCER,فوتبال,J-League Division 1,Japan,ژاپن,جی‌لیگ ۱ ژاپن
Football,SOCCER,فوتبال,Thai Premier League,Thailand,تایلند,لیگ برتر تایلند
Football,SOCCER,فوتبال,Super League,Switzerland,سوئیس,سوپر لیگ سوئیس
Football,SOCCER,فوتبال,Challenge League,Switzerland,سوئیس,چلنج لیگ سوئیس
Football,SOCCER,فوتبال,Série B,Brazil,برزیل,سری بی برزیل
Football,SOCCER,فوتبال,Paulista U20,Brazil,برزیل,لیگ زیر ۲۰ سال برزیل
Football,SOCCER,فوتبال,Paulista Cup,Brazil,برزیل,کوپا پائولیستا برزیل
Football,SOCCER,فوتبال,tipp3-Bundesliga,Austria,اتریش,بوندسلیگا اتریش
Football,SOCCER,فوتبال,Austria - Landesliga,Austria,اتریش,لندسلیگا اتریش
Football,SOCCER,فوتبال,Regionalleague Ost,Austria,اتریش,لیگ منطقه‌ای
Football,SOCCER,فوتبال,Erste Liga,Austria,اتریش,لیگ دسته اول اتریش
Football,SOCCER,فوتبال,1.division,Poland,لهستان,لیگ ۱ لهستان
Football,SOCCER,فوتبال,2.division,Poland,لهستان,لیگ ۲ لهستان
Football,SOCCER,فوتبال,LOTTO Ekstraklasa,Poland,لهستان,لیگ برتر لهستان
Football,SOCCER,فوتبال,3.division Pomorsko - zachodniopomorska,Poland,لهستان,لیگ ۳ لهستان غربی
Football,SOCCER,فوتبال,3.division Dolnoslasko - lubuska,Poland,لهستان,لیگ ۳ لهستان لابوسکا
Football,SOCCER,فوتبال,Women Ekstraliga,Poland,لهستان,لیگ برتر - زنان لهستان
Football,SOCCER,فوتبال,Centralna Liga U19,Poland,لهستان,لیگ مرکزی زیر ۱۹ سال
Football,SOCCER,فوتبال,3.division Opolsko - slaska,Poland,لهستان,لیگ ۳ لهستان سلاسکا
Football,SOCCER,فوتبال,3.division Kujawsko - pomorsko - wielkopolska,Poland,لهستان,لیگ ۳ لهستان 
Football,SOCCER,فوتبال,Segunda Liga,Portugal,پرتغال,لیگ دسته دوم پرتغال
Football,SOCCER,فوتبال,Primeira Liga,Portugal,پرتغال,لیگ برتر پرتغال
Football,SOCCER,فوتبال,Portugal. Taca de Portugal,Portugal,پرتغال,جام حذفی پرتغال
Football,SOCCER,فوتبال,Prva Liga,Slovenia,اسلوونی,لیگ دسته اول اسلوونی
Football,SOCCER,فوتبال,MLS - Playoffs,United States,آمریکا,ام ال اس 
Football,SOCCER,فوتبال,Tercera Division,Chile,شیلی,ترسرا دیویژن شیلی
Football,SOCCER,فوتبال,Welsh Premier League,Wales,ولز,لیگ برتر ولز
Football,SOCCER,فوتبال,1st Division,Wales,ولز,لیگ دسته اول ولز
Football,SOCCER,فوتبال,Primera C Metropolitana,Argentina,آرژانتین,لیگ سی آرژانتین
Football,SOCCER,فوتبال,Primera B Metropolitana,Argentina,آرژانتین,لیگ بی آرژانتین
Football,SOCCER,فوتبال,Primera D Metropolitana,Argentina,آرژانتین,لیگ دی آرژانتین
Football,SOCCER,فوتبال,Federal A - Group 2,Argentina,آرژانتین,لیگ فدرال آ - گروه ۲
Football,SOCCER,فوتبال,Federal A - Group 3,Argentina,آرژانتین,لیگ فدرال آ - گروه ۳
Football,SOCCER,فوتبال,Torneo Federal B,Argentina,آرژانتین,لیگ تورنئو فدرال بی آرژانتین
Football,SOCCER,فوتبال,Superliga,Argentina,آرژانتین,سوپر لیگ آرژانتین
Football,SOCCER,فوتبال,Allsvenskan Kval,Sweden,سوئد,لیگ برتر سوئد
Football,SOCCER,فوتبال,Campeonato Serie B,Ecuador,اکوادور,سری بی اکوادور
Football,SOCCER,فوتبال,Copa Pilsener Serie A,Ecuador,اکوادور,سری آ اکوادور
Football,SOCCER,فوتبال,Qualification Eliteserien,Norway,نروژ, مقدماتی لیگ برتر  نروژ
Football,SOCCER,فوتبال,Tippeligaen,Norway,نروژ,لیگ برتر  نروژ
Football,SOCCER,فوتبال,NM Cupen Women,Norway,نروژ,جام حذفی زنان
Football,SOCCER,فوتبال,II Liga,Slovakia,اسلواکی,لیگ ۲ اسلواکی
Football,SOCCER,فوتبال,Fortuna liga,Slovakia,اسلواکی,سوپر لیگ اسلواکی
Football,SOCCER,فوتبال,Segunda Division,Mexico,مکزیک,لیگ دسته دوم مکزیک
Football,SOCCER,فوتبال,Liga MX - Apertura,Mexico,مکزیک,لیگ برتر مکزیک
Football,SOCCER,فوتبال,U20 League,Mexico,مکزیک,لیگ زیر ۲۰ سال مکزیک
Football,SOCCER,فوتبال,Championship Playoffs,Northern Ireland,ایرلند شمالی,لیگ قهرمانی ایرلند شمالی
Football,SOCCER,فوتبال,LFPB,Bolivia,بولیوی,لیگ حرفه‌ای بولیوی
Football,SOCCER,فوتبال,Division Profesional,Paraguay,پاراگوئه,لیگ حرفه‌ای پاراگوئه
Football,SOCCER,فوتبال,Reserve League,Panama,پاناما,لیگ رزرو پاناما
Football,SOCCER,فوتبال,Jelen Super lige,Serbia,صربستان,سوپر لیگ صربستان
Football,SOCCER,فوتبال,Premier Division,Gibraltar,جبل الطارق,لیگ برتر جبل طارق
Football,SOCCER,فوتبال,Premier League,New Zealand,نیوزیلند,پرمیرشیپ نیوزلند
Football,SOCCER,فوتبال,ASB Youth League,New Zealand,نیوزیلند,لیگ جوانان نیوزیلند
Football,SOCCER,فوتبال,Torneo de Invierno,Costa Rica,کاستاریکا,لیگ برتر کاستاریکا
Football,SOCCER,فوتبال,Leinster League,Ireland,ایرلند,لیگ لینستر
Football,SOCCER,فوتبال,U21 Division,Algeria,الجزایر, لیگ زیر ۲۱ سال الجزایر
Football,SOCCER,فوتبال,Division 2,Algeria,الجزایر,لیگ ۲ الجزایر
Football,SOCCER,فوتبال,Ligue 1,Algeria,الجزایر,لیگ ۱ الجزایر
Football,SOCCER,فوتبال,Division di Honor,Aruba,آروبا,لیگ برتر آروبا
Football,SOCCER,فوتبال,Premier League,Azerbaijan,آذربایجان,لیگ برتر آذربایجان
Football,SOCCER,فوتبال,Hungary U19 Osztaly,Hungary,مجارستان,لیگ زیر ۱۹ سال مجارستان
Football,SOCCER,فوتبال,Liga NB1,Hungary,مجارستان,لیگ دسته اول مجارستان
Football,SOCCER,فوتبال,First Division,Hong Kong,هنگ کنگ,لیگ برتر هنگ کنگ
Football,SOCCER,فوتبال,Premier League,Kenya,کنیا,لیگ برتر کنیا
Football,SOCCER,فوتبال,Premier League,Belarus,بلاروس,لیگ برتر بلاروس
Football,SOCCER,فوتبال,Premier League,Uganda,اوگاندا,سوپر لیگ اوگاندا
Football,SOCCER,فوتبال,3. Lig,Turkey,ترکیه,لیگ ۳ ترکیه
Football,SOCCER,فوتبال,2. Ligi - Group 1 (Beyaz),Turkey,ترکیه,لیگ ۲ ترکیه گروه ۱
